TITLE AND AUTHOR,THEME
,
Basic Trust vs. Mistrust,
“Greatness Strikes Where It Pleases” by L. Gustafsson,hope from the start
,
autonomy vs. shame and doubt,
“Grisha” by Anton Chekhov1,awakening in a toddler
,
initiative vs. guilt,
“In the Kindergarten” by Ha Jin3,growth through assertiveness
“The First Day” by Edward Jones50,mother’s crucial support
"“My Father, the Englishman, and I” by Nuruddin Farah18",instinctive assertiveness
"""My Oedipus Complex"" by Frank O'Connor",child's perspective
,
industry vs. inferiority,
“Oysters” by Anton Chekhov1,image of father diminished
"“Good-bye Marcus, Good-bye Rose” by Jean Rhys1",resilience after trauma 
“Barn-Burning” by William Faulkner2,imaage of father shattered
“The Mother” by Natalia Ginzburg6,forgetting one’s mother
“Murderers” by Leonard Michaels7,children’s irresponsibility
“The Lesson” by Toni Cade Bambara8,second thoughts
“Fiesta” by Junot Diaz9,heart knows what eyes avoid
"“Tears, Idle Tears” by Elizabeth Bowen10",healthy separation
“First Confession” by Frank O’Connor29,a dose of reality
“Rules of the Game” by Amy Tan49,moving beyond mother
The Third Born by Moshin Hamid65,self-parenting
The Ghost in the Mill by Harriet Beecher Stowe4 ,anxiety teaches
Van Gogh’s Ear by Moacyr Scliar68 , lost illusion of father
The Evil Eye by Andre Gelasimov60, rough kindness
Goose Chase by Lucian Dan Teodorovici60,grandfatherly finesse
"""Laughing Man"" by J. D. Salinger",making up one’s own story
"""The Stolen Party"" by Liliana Hecker",seeing your mother whole
"""Control Group"" by Antonya Nelson",a little help suffices
"""Eleven"" by Sandra Cisneros",kid has it figured out
"""One Saturday Morning""-Tessa Hadley",adults are different from children
"""Before the War"" by Per Peterson",sizing up father
"""The Circling Hand"" by Jamaica Kincaid",hard way to learn
"""The Flowers"" by Alice Walker",harsh realization
"""Mr. Parker"" by Laurie Colwin",mother-daughter struggle
“Sredni Vashtar” by Saki,the will to be free
“Walker Brothers Cowboy” by Alice Munro,knowing one’s father
“Solstice” by Ann Enright,father-son bonding
The Living by Mary Lavin,taking charge
,
ego identity vs. role diffusion,
“Araby” by James Joyce1,resilience after failure
“Her First Ball” by Katherine Mansfield1,resilience after hurt
“Araby” by James Joyce1,resilience after humiliation
“In Dreams Begin Responsibilities” by Delmore Schwartz1,letting go of parents
“In the Basement” by Isaac Babel2,power of imagination
“The A & P” by John Updike11,standing your ground
